Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F1,F2,F3,F4
0.0,62.0,58.0,23.0,22.0,0.0,2.0,1.0,0.2890331537827201,-64.23445434570313,0.0,0.0
0.0,62.0,58.0,23.0,22.0,0.0,2.0,1.0,0.2890334647634754,-84.76854248046875,0.0,0.0
0.0,62.0,58.0,23.0,22.0,0.0,2.0,1.0,0.2890332056128459,-65.42238922119141,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890327909718388,-64.25870056152344,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890325836513353,-63.34731597900391,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890325836513353,-63.415713500976565,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890331019525942,7.393147039413453,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324281609576,-64.74061126708985,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.289032687311587,-64.25013275146485,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890325836513353,-64.28148193359375,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.289032739141713,-64.41100616455078,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324281609576,-63.0095703125,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324799910835,7.419484424591065,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890320653500764,-65.1178695678711,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324281609576,-65.2254135131836,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890325836513353,-63.53692169189453,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.289032739141713,-63.64402313232422,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324281609576,-63.19544525146485,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890319098596987,-63.87735290527344,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890324281609576,-63.76901550292969,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890323763308317,-64.49643249511719,0.0,0.0
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.289032739141713,-63.81592864990235,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890352788178816,-82.53897399902344,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890351751576299,-77.77601165771485,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.289035071497378,-81.83779449462891,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890347605166227,-77.05061645507813,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890352788178816,-82.23028106689453,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890348641768745,-82.37976379394532,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890352788178816,-82.14266510009766,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890350196672522,-76.34905548095703,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890357452890146,-82.11696929931641,0.0,0.0
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.289035123327504,-81.98323364257813,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890360044396441,-80.07314605712891,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.28903605626977,-79.48989410400391,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890358489492665,-79.88383026123047,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890357452890146,-78.52395935058594,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890358489492665,-78.99953765869141,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890359007793923,-82.80891723632813,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890357452890146,-83.05078430175782,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890358489492665,-79.45846099853516,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890359007793923,-82.80891723632813,0.0,0.0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890359007793923,-82.80891723632813,0.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.2890282299207604,-84.21302337646485,0.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.289027970770131,-74.79622955322266,0.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.2890282817508862,-83.37848205566407,0.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.289027918940005,-77.09187622070313,-2435.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.2890281262605085,-78.77093048095703,0.0,0.0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.2890281262605085,-84.24998016357422,0.0,0.0
