Target Index,TimeOfDay,Ego Speed,TrafficAmount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,17063.671875,547.3799047964303,100.1336
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,16888.4931640625,606.2672979929125,105.7245
0.0,0.07,46.0,8.0,1.0,6.0,2.7197864055633545,15570.17431640625,657.0255174968888,109.14683
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,15062.90478515625,602.64562665919,105.995705
0.0,0.07,46.0,8.0,1.0,6.0,1.031456470489502,33667.09765625,578.1172705900522,104.52604
0.0,0.07,46.0,8.0,1.0,6.0,3.581660270690918,22997.03125,560.9126619731658,101.7805
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,28007.166015625,559.8658331114849,101.50491
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,15076.21875,616.9252395107011,106.748726
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,29241.12109375,569.1264837010705,102.9379
0.0,0.07,46.0,8.0,1.0,6.0,1.658751130104065,46835.359375,577.2658842275584,104.27777
0.0,0.08,48.0,10.0,1.0,0.0,4.7528486251831055,16349.76513671875,652.686790722948,109.26875
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,9485.648681640625,688.3074650576731,109.82646
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,23054.6181640625,658.2156820897685,109.84059
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,5181.965576171875,796.1344498038444,109.78643
0.0,0.08,48.0,10.0,1.0,0.0,4.106703281402588,12154.7451171875,690.7599600578017,109.23309
0.0,0.08,48.0,10.0,1.0,0.0,4.872706413269043,2696.4146728515625,804.0955617398697,109.784676
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,14211.99560546875,684.6761161585647,109.67394
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,6013.9434814453125,807.364553588989,109.23897
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,5582.01611328125,803.7612866917244,109.23279
0.0,0.08,48.0,10.0,1.0,0.0,9999.900390625,4513.5889892578125,723.7599690752569,100.3567
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.014642703346908092,513.4130993713462,69.84187
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.01461564376950264,513.4064010841573,70.54557
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.014295871369540691,512.3335120604102,68.79947
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.015508008189499378,513.1669383508997,69.45067
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.016541602090001106,513.6604257570879,70.66412
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.012796622700989246,512.7246061357447,68.837006
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.013378993608057499,512.9923671582807,69.30409
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.01419102493673563,512.8964082331318,69.227356
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,0.013255564495921135,513.337992552571,69.903694
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,1026.6600341796875,590.0326774124485,103.950195
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,84854.828125,560.6710833607477,101.80797
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,17212.169921875,566.2775175905603,103.63716
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,23830.576171875,537.6587801750436,100.10787
0.0,0.28,41.0,3.0,1.0,2.0,2.7484142780303955,37494.05078125,561.2586133647842,102.141716
0.0,0.28,41.0,3.0,1.0,2.0,1.887543797492981,34719.6953125,558.144244390844,100.37091
0.0,0.28,41.0,3.0,1.0,2.0,1.963565707206726,72100.66015625,563.6508685752855,101.80694
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,17047.89208984375,609.748546439397,106.05643
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,38430.57421875,543.3455624932031,100.131096
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,16590.728515625,593.6711406422268,103.80146
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,17146.23779296875,584.623011598529,104.58955
