Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F1,F2,F3,F4
1,4,9,18,19,0,0,2,0.289027919,-65.89607544,0,0
1,4,9,18,19,0,0,2,0.289028074,-68.09530182,0,0
1,4,9,18,19,0,0,2,0.289028023,-67.90436096,0,0
1,4,9,18,19,0,0,2,0.289027971,-66.6006424,0,0
1,14,98,20,29,3,3,2,0.289032428,-64.50158997,-26,0
1,14,98,20,29,3,3,2,0.289032584,-63.02318878,0,0
1,14,98,20,29,3,3,2,0.289032739,-62.80025024,0,0
1,14,98,20,29,3,3,2,0.289032687,-63.82174225,0,0
1,14,98,20,29,3,3,2,0.289032325,-63.94658966,0,0
1,14,98,20,29,3,3,2,0.289032687,-63.54255981,0,0
1,14,98,20,29,3,3,2,0.289032687,-63.933078,-1,0
1,14,98,20,29,3,3,2,0.289032584,-65.00992889,0,0
1,14,98,20,29,3,3,2,0.289032376,-63.12923737,-1,0
1,14,98,20,29,3,3,2,0.289032584,-62.57744904,0,0
1,25,78,7,35,1,2,0,0.289039684,-61.30804749,0,0
1,25,78,7,35,1,2,0,0.289039736,-61.56645508,0,0
1,25,78,7,35,1,2,0,0.28903984,-60.67159576,0,0
1,25,78,7,35,1,2,0,0.28903984,-61.86968536,-1521,0
1,25,78,7,35,1,2,0,0.289039425,-59.54402466,0,0
1,25,78,7,35,1,2,0,0.289039684,-61.37776489,0,0
1,25,78,7,35,1,2,0,0.28903984,-60.40495605,0,0
1,25,78,7,35,1,2,0,0.289039684,-62.50574799,0,0
1,25,78,7,35,1,2,0,0.289039684,-59.50060577,0,0
1,25,78,7,35,1,2,0,0.28903984,-61.31088562,0,0
1,45,54,1,37,1,3,1,0.289034864,-62.77953644,-2291,0
1,45,54,1,37,1,3,1,0.145711609,-62.84328003,0,0
1,45,54,1,37,1,3,1,0.289034916,-63.43920441,0,0
1,45,54,1,37,1,3,1,-0.089880985,-63.82828827,0,0
1,45,54,1,37,1,3,1,0.289034916,-62.53133698,0,0
