TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
0.0,0.07,46.0,8.0,1.0,6.0,0.0,175.1787109375,58.88739319648221,5.590900000000005,1,0,1,0,1
0.0,0.07,46.0,8.0,1.0,6.0,9997.180604219437,1493.49755859375,109.64561270045851,9.013229999999993,1,0,1,0,1
0.0,0.07,46.0,8.0,1.0,6.0,9997.180604219437,2000.76708984375,109.64561270045851,9.013229999999993,1,0,1,0,1
0.0,0.07,46.0,8.0,1.0,6.0,9998.86893415451,18604.19287109375,109.64561270045851,9.013229999999993,1,0,1,0,1
0.0,0.07,46.0,8.0,1.0,6.0,9998.86893415451,31772.45458984375,109.64561270045851,9.013229999999993,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.147541999817,6864.116455078127,35.620674334725095,0.5577100000000002,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.147541999817,13568.969482421877,35.620674334725095,0.5718400000000088,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.147541999817,17872.652587890625,143.44765908089641,0.5718400000000088,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.793687343597,17872.652587890625,143.44765908089641,0.6075000000000017,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.793687343597,20358.203491210938,151.40877101692172,0.6075000000000017,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.793687343597,20358.203491210938,154.677762866041,0.6075000000000017,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.793687343597,20358.203491210938,154.677762866041,0.6078000000000117,1,0,1,0,1
0.0,0.08,48.0,10.0,1.0,0.0,9995.793687343597,20358.203491210938,154.677762866041,9.483890000000002,1,0,1,0,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,2.7059577405400687e-05,0.0066982871888967566,0.7036999999999978,0,0,0,1,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,0.0003468319773674011,1.0795873109360627,1.7460999999999984,0,0,0,1,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,0.0012121368199587007,1.0795873109360627,1.7460999999999984,0,0,0,1,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,0.0022457307204605,1.3269136966777069,1.8646499999999975,0,0,0,1,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,0.0037449793890119,1.3269136966777069,1.8646499999999975,0,0,0,1,1
0.0,0.13,20.0,2.0,0.0,6.0,0.0,1026.6472375569865,77.69916535203834,35.150724999999994,0,0,0,1,1
0.0,0.28,41.0,3.0,1.0,2.0,0.0,67642.658203125,5.606434229812521,1.829189999999997,1,1,0,0,1
0.0,0.28,41.0,3.0,1.0,2.0,0.0,67642.658203125,28.618737415516648,3.529289999999989,1,1,0,0,1
0.0,0.28,41.0,3.0,1.0,2.0,9997.15197634697,67642.658203125,28.618737415516648,3.529289999999989,1,1,0,0,1
0.0,0.28,41.0,3.0,1.0,2.0,9998.012846827507,67642.658203125,28.618737415516648,3.529289999999989,1,1,0,0,1
0.0,0.28,41.0,3.0,1.0,2.0,9998.012846827507,67806.93603515625,72.08976626435344,5.9485600000000005,1,1,0,0,1
0.0,0.28,41.0,3.0,1.0,2.0,9998.012846827507,68264.099609375,72.08976626435344,5.9485600000000005,1,1,0,0,1
0.0,0.34,41.0,5.0,0.0,6.0,9995.549265861511,6744.090179443359,317.5994790229283,55.825683000000005,1,0,1,1,1
0.0,0.34,41.0,5.0,0.0,6.0,9995.549265861511,13269.39144897461,317.5994790229283,55.825683000000005,1,0,1,1,1
0.0,0.34,41.0,5.0,0.0,6.0,9995.549265861511,13360.756591796875,318.5247373970027,55.825683000000005,1,0,1,1,1
0.0,0.34,41.0,5.0,0.0,6.0,9995.549265861511,13360.756591796875,318.5247373970027,55.844423,1,0,1,1,1
0.0,0.34,41.0,5.0,0.0,6.0,9996.887102603912,17561.682373046875,318.5247373970027,55.844423,1,0,1,1,1
0.0,0.34,41.0,5.0,0.0,6.0,9996.887102603912,17736.705444335938,318.5247373970027,55.844423,1,0,1,1,1
0.0,0.43,41.0,0.0,1.0,6.0,0.0,2.9558563232421875,0.9847995538809755,1.0987089999999995,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,4.6255950927734375,1.9265252358838438,1.0987089999999995,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,1070.3809051513672,1.9265252358838438,1.0987089999999995,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,1070.5210876464844,2.0219521374958163,1.9167249999999996,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,1071.0996246337895,2.0219521374958163,2.2785259999999994,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,1073.5736999511723,2.0219521374958163,2.2785259999999994,0,0,0,0,0
0.0,0.43,41.0,0.0,1.0,6.0,0.0,1073.5736999511723,2.8592634702786768,3.261375000000001,0,0,0,0,0
0.0,0.44,26.0,10.0,1.0,5.0,0.0,2113.478515625,36.81220052381104,6.483029999999999,1,0,1,0,1
0.0,0.44,26.0,10.0,1.0,5.0,9996.929744005203,16911.201171875,43.70602005952958,6.526880000000006,1,0,1,0,1
0.0,0.44,26.0,10.0,1.0,5.0,9997.149510145187,16911.201171875,54.20109179159135,6.526880000000006,1,0,1,0,1
