Method,Input,Precision,Recall,F1
 Random Forest,With delta fitnesses,1.0,0.96794208893485,0.9837099316868103
 Random Forest,"With delta fitnesses w\o weather, blueprints",1.0,0.9669079627714581,0.9831756046267087
 Random Forest,With delta fitnesses w\o blueprints,1.0,0.9648397104446742,0.9821052631578947
 Random Forest,With delta fitnesses w\o weather,1.0,0.9648397104446742,0.9821052631578947
MLP,With delta fitnesses w\o blueprints,0.9978563772775991,0.9627714581178903,0.98
MLP,With delta fitnesses,0.9823284823284824,0.9772492244053774,0.9797822706065319
Decision Tree,With delta fitnesses,1.0,0.9596690796277145,0.9794195250659631
Decision Tree,With delta fitnesses w\o weather,1.0,0.9596690796277145,0.9794195250659631
Decision Tree,With delta fitnesses w\o blueprints,1.0,0.9596690796277145,0.9794195250659631
Decision Tree,"With delta fitnesses w\o weather, blueprints",1.0,0.9596690796277145,0.9794195250659631
MLP,With delta fitnesses w\o weather,0.9904661016949152,0.9669079627714581,0.97854526425955
MLP,"With delta fitnesses w\o weather, blueprints",0.9925452609158679,0.9638055842812823,0.9779643231899267
 Random Forest,With 1 set of fitnesses w\o blueprints,0.9927007299270073,0.9251700680272109,0.9577464788732395
Decision Tree,With 1 set of fitnesses w\o weather,0.9652777777777778,0.9455782312925171,0.9553264604810997
Decision Tree,With 1 set of fitnesses w\o blueprints,0.971830985915493,0.9387755102040817,0.9550173010380623
 Random Forest,With 1 set of fitnesses w\o weather,0.9855072463768116,0.9251700680272109,0.9543859649122808
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.9926470588235294,0.9183673469387755,0.9540636042402828
 Random Forest,With 1 set of fitnesses,0.9926470588235294,0.9183673469387755,0.9540636042402828
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.9586206896551724,0.9455782312925171,0.952054794520548
Decision Tree,With 1 set of fitnesses,0.9716312056737588,0.9319727891156463,0.951388888888889
SVM,With delta fitnesses,0.9834070796460177,0.9193381592554292,0.9502939604489578
SVM,With delta fitnesses w\o weather,0.9834070796460177,0.9193381592554292,0.9502939604489578
SVM,With delta fitnesses w\o blueprints,0.9834070796460177,0.9193381592554292,0.9502939604489578
SVM,"With delta fitnesses w\o weather, blueprints",0.9834070796460177,0.9193381592554292,0.9502939604489578
MLP,With 1 set of fitnesses,0.9708029197080292,0.9047619047619048,0.9366197183098592
MLP,With 1 set of fitnesses w\o weather,0.9774436090225563,0.8843537414965986,0.9285714285714285
MLP,With 1 set of fitnesses w\o blueprints,0.8924050632911392,0.9591836734693877,0.9245901639344263
MLP,"With 1 set of fitnesses w\o weather, blueprints",0.9770992366412213,0.8707482993197279,0.9208633093525179
SVM,"With 1 set of fitnesses w\o weather, blueprints",0.9838709677419355,0.8299319727891157,0.9003690036900369
SVM,With 1 set of fitnesses w\o blueprints,0.9838709677419355,0.8299319727891157,0.9003690036900369
SVM,With 1 set of fitnesses w\o weather,0.9838709677419355,0.8299319727891157,0.9003690036900369
SVM,With 1 set of fitnesses,0.9838709677419355,0.8299319727891157,0.9003690036900369
