TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
2.0,0.23,35.0,5.0,1.0,0.0,1.8051156997680664,-20103.5849609375,-551.1743119738679,102.38691,1,1,1,1,1
2.0,0.23,38.0,8.0,0.0,5.0,9999.900390625,-17898.6650390625,-498.4112810759223,66.558304,1,0,1,1,1
2.0,0.23,48.0,2.0,0.0,2.0,9999.900390625,-2266.860870361328,-474.0681619164416,55.12068,0,1,1,1,1
2.0,0.27,24.0,6.0,0.0,0.0,9999.900390625,-1.9893053770065308,-476.6815427191971,53.756695,0,1,1,1,1
2.0,0.28,24.0,8.0,1.0,4.0,2.574460506439209,-19841.072265625,-562.4374263216438,103.94458,1,1,1,1,1
2.0,0.35,27.0,9.0,1.0,0.0,3.4896388053894043,-20494.1044921875,-601.9593345962573,105.81283,1,0,1,1,1
2.0,0.38,29.0,5.0,1.0,3.0,9999.900390625,-1104.9119567871094,-485.5521747266702,56.2574,1,1,1,1,1
2.0,0.39,48.0,4.0,0.0,5.0,9999.900390625,-14240.8046875,-513.9590328489674,78.70732,1,1,1,1,1
2.0,0.4,34.0,6.0,0.0,4.0,9999.900390625,-18022.5458984375,-603.9207480533662,106.301674,1,1,1,1,1
2.0,0.43,29.0,9.0,1.0,4.0,9999.900390625,-29029.87890625,-558.556138393063,102.97809,1,1,1,1,1
2.0,0.54,45.0,9.0,0.0,2.0,9999.900390625,-14640.060546875,-603.8572920785117,105.72513,1,0,1,1,1
2.0,0.63,20.0,7.0,1.0,6.0,4.2206807136535645,-11867.472412109377,-579.9550835276301,104.040115,1,0,1,1,1
2.0,0.65,48.0,7.0,0.0,0.0,3.610284566879273,-20777.400390625,-529.785354855469,99.5421,1,1,1,1,1
2.0,0.7,21.0,6.0,0.0,0.0,9999.900390625,-10669.7607421875,-617.9593987663669,107.61062,0,0,1,1,1
2.0,0.71,23.0,7.0,1.0,1.0,9999.900390625,-14012.4892578125,-608.2267641692497,107.05427,1,0,1,0,1
2.0,0.85,42.0,7.0,1.0,4.0,9999.900390625,-15357.45361328125,-557.7747803315559,102.85618,1,1,1,1,1
2.0,0.89,22.0,6.0,1.0,0.0,4.052104473114014,-13181.22802734375,-656.0370377936259,109.19439,1,0,1,1,1
3.0,0.04,34.0,10.0,1.0,2.0,4.046554088592529,-22774.0595703125,-1054.8850644585402,101.84743,1,1,1,1,1
3.0,0.07,42.0,1.0,1.0,4.0,9999.900390625,-2178.759567260742,-1014.9767610222104,55.590748,0,0,0,0,0
3.0,0.09,43.0,3.0,1.0,0.0,9999.900390625,-18055.236328125,-1072.36247219951,104.17759,1,1,1,1,1
3.0,0.11,32.0,2.0,0.0,5.0,9999.900390625,-2386.860748291016,-998.093888432344,54.0723,0,1,1,1,1
3.0,0.11,38.0,0.0,0.0,5.0,9999.900390625,-1173.1690521240234,-997.2729505781076,53.434532,0,0,0,0,0
3.0,0.13,31.0,8.0,1.0,3.0,2.8033504486083984,-14938.2373046875,-1074.1965213276055,103.8444,1,1,1,1,1
3.0,0.15,33.0,4.0,1.0,5.0,3.966266632080078,-15498.5009765625,-1082.4350103816544,106.300545,1,1,1,1,1
3.0,0.23,29.0,9.0,0.0,1.0,9999.900390625,-1144.7990264892578,-998.8095993851248,51.630943,1,1,1,1,1
3.0,0.24,47.0,9.0,0.0,4.0,9999.900390625,-10486.041015625,-1123.1519722974726,109.21469,1,1,1,0,1
3.0,0.3,21.0,1.0,1.0,6.0,9999.900390625,-0.0624798834323883,-1037.9848202268954,99.20074,0,0,0,0,0
3.0,0.3,26.0,10.0,1.0,2.0,2.8695311546325684,-30544.13671875,-1064.0965861679103,104.298454,1,1,1,1,1
3.0,0.33,48.0,9.0,0.0,5.0,9999.900390625,-2255.3782501220703,-1000.6787934367492,51.595783,1,1,1,1,1
3.0,0.37,20.0,9.0,0.0,1.0,9999.900390625,-7596.982177734375,-1101.1668690988356,109.156624,1,0,1,1,1
3.0,0.39,31.0,7.0,0.0,0.0,9999.900390625,-21202.28125,-1043.8040296684435,99.19829,1,1,1,1,1
3.0,0.41,20.0,3.0,1.0,5.0,3.4047179222106934,-13664.587890625,-1054.013279715835,102.07918,1,0,1,1,1
3.0,0.53,48.0,10.0,1.0,4.0,9999.900390625,-18570.78125,-1137.0419135806092,109.55887,1,1,1,0,1
3.0,0.67,49.0,0.0,1.0,4.0,9999.900390625,-2178.6535034179688,-1015.0944100701896,55.21218,0,0,0,0,0
3.0,0.7,28.0,4.0,1.0,4.0,2.9125027656555176,-16588.58837890625,-1050.8965851258315,100.15615,1,1,1,1,1
3.0,0.74,43.0,1.0,0.0,5.0,9999.900390625,-1168.8254699707031,-992.9232649294346,47.22954,0,0,0,0,0
3.0,0.75,33.0,9.0,1.0,6.0,9999.900390625,-15914.13330078125,-1094.0545493080836,107.09561,1,1,1,1,1
3.0,0.76,43.0,10.0,0.0,6.0,9999.900390625,-12800.8681640625,-1070.8410593850565,104.19897,0,1,1,1,1
3.0,0.8,39.0,0.0,0.0,6.0,9999.900390625,-1164.3533020019531,-996.6758888006684,53.61595,0,0,0,0,0
3.0,0.82,37.0,5.0,0.0,6.0,9999.900390625,-23429.7900390625,-1058.4646343820086,102.822845,1,1,1,1,1
3.0,0.83,37.0,4.0,1.0,4.0,3.0011208057403564,-17367.2939453125,-1037.3849324568912,97.068474,1,1,1,1,1
3.0,0.87,35.0,3.0,1.0,2.0,9999.900390625,-25612.373046875,-1059.7048703009252,103.45721,0,1,1,1,1
3.0,0.93,28.0,10.0,0.0,5.0,4.933796405792236,-15042.75634765625,-1125.4594112413497,109.20826,1,1,1,1,1
3.0,0.96,28.0,7.0,1.0,2.0,9999.900390625,-20417.0771484375,-1110.8504717906906,109.33611,1,1,1,0,1
4.0,0.05,29.0,9.0,0.0,0.0,9999.900390625,-10408.3525390625,-565.0982525244523,103.92576,1,0,1,1,1
4.0,0.05,31.0,5.0,0.0,6.0,9999.900390625,-24946.521484375,-537.3849486426104,100.114456,1,1,1,1,1
4.0,0.08,47.0,5.0,0.0,1.0,9999.900390625,-12643.74267578125,-522.4763201388815,97.00342,1,1,1,1,1
4.0,0.11,37.0,4.0,0.0,1.0,9999.900390625,-16712.2685546875,-518.448825518758,79.61099,1,1,1,1,1
4.0,0.14,26.0,10.0,0.0,4.0,3.169355869293213,-21122.3974609375,-593.2339847643667,104.95492,1,1,1,1,1
4.0,0.15,32.0,8.0,1.0,2.0,9999.900390625,-16976.66943359375,-597.7871804717679,105.8031,1,1,1,1,1
4.0,0.16,32.0,9.0,1.0,6.0,9999.900390625,-20408.0068359375,-578.7207573104457,104.52342,1,0,1,0,1
4.0,0.22,46.0,4.0,0.0,3.0,9999.900390625,-5341.959442138672,-465.2869194332949,47.55331,1,0,1,1,1
4.0,0.32,43.0,10.0,0.0,5.0,9999.900390625,-12689.83056640625,-663.6986768875036,109.55774,1,1,1,1,1
4.0,0.5,38.0,8.0,0.0,4.0,9999.900390625,-14614.2705078125,-575.3781768076177,104.62675,1,1,1,1,1
4.0,0.55,41.0,10.0,1.0,1.0,9999.900390625,-5595.51806640625,-795.8798634851297,109.26679,1,1,1,0,1
4.0,0.58,28.0,6.0,1.0,5.0,1.932424783706665,-16729.59716796875,-659.1177397819401,109.572235,1,1,1,1,1
4.0,0.7,26.0,7.0,0.0,6.0,9999.900390625,-7341.47509765625,-750.743625604444,109.220215,0,1,1,1,1
4.0,0.7,44.0,1.0,0.0,1.0,9999.900390625,-1183.165023803711,-468.8749519475081,53.345364,0,0,0,0,0
4.0,0.73,37.0,6.0,1.0,1.0,2.3912007808685303,-16920.1044921875,-595.1582254871028,105.136475,1,1,1,0,1
4.0,0.75,47.0,6.0,1.0,0.0,4.416341304779053,-22051.564453125,-549.72176558864,100.16734,1,1,1,1,1
4.0,0.77,44.0,1.0,0.0,2.0,9999.900390625,-1176.2762451171875,-467.9972857893837,53.68619,0,0,0,0,0
4.0,0.79,43.0,8.0,0.0,3.0,9999.900390625,-12719.083984375,-660.5249707299852,109.23004,1,1,1,1,1
4.0,0.84,27.0,9.0,0.0,2.0,9999.900390625,-78.69903564453125,-470.7953817868414,52.34888,1,1,1,1,1
4.0,0.85,45.0,5.0,0.0,0.0,9999.900390625,-7786.892578125,-528.1294045969163,99.20238,1,1,1,1,1
4.0,0.88,38.0,7.0,1.0,6.0,9999.900390625,-17330.4169921875,-545.8168792670064,100.124214,1,1,1,1,1
4.0,0.93,50.0,9.0,0.0,3.0,4.933157920837402,-16473.173828125,-531.4035100388994,99.91853,1,1,1,1,1
5.0,0.03,21.0,4.0,1.0,4.0,9999.900390625,-0.0643566846847534,-1036.0460526686225,100.10598,1,1,1,1,1
5.0,0.03,26.0,5.0,0.0,2.0,9999.900390625,-16286.01025390625,-1051.3152923053813,100.38787,1,1,1,1,1
5.0,0.05,30.0,2.0,1.0,4.0,4.667394638061523,-21193.7392578125,-1049.3448866885892,100.22095,1,1,1,1,1
5.0,0.13,32.0,4.0,0.0,3.0,9999.900390625,-14951.6435546875,-1028.8877958286705,79.41237,1,1,1,1,1
5.0,0.18,30.0,5.0,1.0,4.0,2.9946365356445312,-17629.6025390625,-1052.7033888169522,102.358765,1,1,1,1,1
5.0,0.21,40.0,9.0,1.0,5.0,9999.900390625,-5475.021545410156,-1191.6323521410884,109.31996,1,1,1,0,1
5.0,0.24,31.0,1.0,0.0,2.0,9999.900390625,-2183.5362548828125,-994.7479050819736,53.831123,0,0,0,0,0
5.0,0.28,43.0,3.0,1.0,0.0,9999.900390625,-29179.201171875,-1028.2603386430455,76.417725,1,1,1,1,1
5.0,0.3,42.0,8.0,0.0,6.0,3.0777902603149414,-17257.0263671875,-1129.0216951148752,109.2441,1,0,1,1,1
5.0,0.32,38.0,4.0,1.0,1.0,9999.900390625,-16972.5615234375,-1036.304586998579,98.20209,1,1,1,1,1
5.0,0.53,47.0,9.0,1.0,1.0,2.516328811645508,-17005.1123046875,-1111.8361297238675,109.47281,1,1,1,1,1
5.0,0.56,42.0,0.0,1.0,6.0,9999.900390625,-1105.4316940307615,-1011.6775976373044,54.60338,0,0,0,0,0
5.0,0.57,36.0,8.0,0.0,3.0,4.911702632904053,-22837.3984375,-1044.085565266659,100.109695,1,1,1,1,1
5.0,0.67,25.0,4.0,1.0,1.0,2.297978162765503,-13931.56396484375,-1191.6023266552236,109.21165,1,1,1,1,1
5.0,0.7,45.0,1.0,0.0,4.0,9999.900390625,-1234.9969635009766,-994.6640484538218,50.807537,0,0,0,0,0
5.0,0.73,42.0,6.0,1.0,1.0,9999.900390625,-21634.484375,-1034.474257898334,97.499054,1,1,1,1,1
