Method,Input,Precision,Recall,F1
MLP,With delta fitnesses,0.9821029082774049,0.8558394160583942,0.903660886319846
MLP,With delta fitnesses w\o blueprints,0.949748743718593,0.8047445255474452,0.8432122370936902
MLP,With delta fitnesses w\o weather,0.958904109589041,0.801094890510949,0.8353948620361561
 Random Forest,With delta fitnesses,0.9947089947089947,0.6897810218978102,0.8120950323974082
 Random Forest,With delta fitnesses w\o weather,0.9946236559139785,0.6824817518248175,0.8051948051948051
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.9863013698630136,0.6897810218978102,0.802547770700637
 Random Forest,With delta fitnesses w\o blueprints,0.991869918699187,0.6897810218978102,0.802547770700637
MLP,"With delta fitnesses w\o weather, blueprints",0.9496221662468514,0.708029197080292,0.8024948024948025
Decision Tree,With delta fitnesses w\o blueprints,0.9971671388101983,0.6751824817518248,0.7956989247311826
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9915014164305949,0.6733576642335767,0.7944025834230355
Decision Tree,With delta fitnesses,1.0,0.6697080291970803,0.7943722943722945
Decision Tree,With delta fitnesses w\o weather,0.994475138121547,0.6697080291970803,0.7935135135135135
MLP,With 1 set of fitnesses w\o weather,0.9166666666666666,0.963963963963964,0.7353951890034364
MLP,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.8558558558558559,0.7116104868913857
MLP,With 1 set of fitnesses,0.7887323943661971,0.8738738738738738,0.7054545454545456
MLP,With 1 set of fitnesses w\o blueprints,0.7368421052631579,0.7837837837837838,0.675
 Random Forest,With 1 set of fitnesses,0.7647058823529411,0.6306306306306306,0.6635071090047393
 Random Forest,With 1 set of fitnesses w\o weather,0.7468354430379747,0.5945945945945946,0.6439024390243904
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.7051282051282052,0.6126126126126126,0.6325581395348838
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.765625,0.6036036036036037,0.6320754716981132
 Random Forest,With 1 set of fitnesses w\o blueprints,0.746031746031746,0.5855855855855856,0.6305418719211823
Decision Tree,With 1 set of fitnesses w\o weather,0.7833333333333333,0.5675675675675675,0.6299999999999999
Decision Tree,With 1 set of fitnesses w\o blueprints,0.7678571428571429,0.5855855855855856,0.6249999999999999
Decision Tree,With 1 set of fitnesses,0.7833333333333333,0.5675675675675675,0.6237623762376238
SVM,"With delta fitnesses w\o weather, blueprints",0.9724409448818898,0.45255474452554745,0.6169154228855721
SVM,With delta fitnesses w\o blueprints,0.9724409448818898,0.45255474452554745,0.6169154228855721
SVM,With delta fitnesses w\o weather,0.9762845849802372,0.45255474452554745,0.6169154228855721
SVM,With delta fitnesses,0.9724409448818898,0.45255474452554745,0.6169154228855721
SVM,With 1 set of fitnesses w\o blueprints,1.0,0.15315315315315314,0.2635658914728682
SVM,With 1 set of fitnesses,1.0,0.15315315315315314,0.2556390977443609
SVM,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.07207207207207207,0.13445378151260504
SVM,With 1 set of fitnesses w\o weather,1.0,0.07207207207207207,0.13445378151260504
