Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
4.0,23.0,93.0,8.0,0.0,2.0,0.0,1.0,0.2890341903852379,-61.49739379882813,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,24.0,95.0,8.0,0.0,2.0,0.0,1.0,0.2890344495358674,-61.673701477050784,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,36.0,83.0,25.0,9.0,0.0,2.0,0.0,0.2890358489492665,-62.453128051757815,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,38.0,63.0,31.0,21.0,4.0,3.0,1.0,0.2890408764714779,-80.93145294189453,-1625.0,0.0,0.0,0.0,1.0,0.0,1
4.0,48.0,86.0,34.0,17.0,1.0,2.0,0.0,0.2890329982923424,-63.51265258789063,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,56.0,13.0,34.0,23.0,3.0,0.0,2.0,0.2890344495358674,-75.50329895019532,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,72.0,2.0,2.0,19.0,1.0,0.0,3.0,0.2890374038530432,-64.56447143554688,0.0,0.0,0.0,1.0,1.0,0.0,1
4.0,84.0,97.0,1.0,36.0,0.0,0.0,2.0,0.2890350196672522,-62.18167419433594,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,90.0,3.0,34.0,27.0,0.0,2.0,2.0,0.2890347605166227,-71.2201416015625,-1337.0,0.0,0.0,0.0,0.0,0.0,0
4.0,96.0,89.0,9.0,10.0,4.0,3.0,0.0,0.2890167236328125,-65.58111877441407,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,10.0,95.0,31.0,7.0,3.0,2.0,2.0,0.2890399953593378,-76.74043579101563,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,14.0,41.0,20.0,17.0,2.0,0.0,0.0,0.2890322208404541,-84.85369415283203,0.0,0.0,0.0,0.0,1.0,0.0,1
5.0,27.0,38.0,24.0,5.0,0.0,3.0,2.0,0.2890251719433327,-57.60647888183594,0.0,0.0,1.0,1.0,0.0,0.0,1
5.0,36.0,76.0,1.0,6.0,4.0,3.0,2.0,0.2890347086864968,-63.92674560546875,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,39.0,67.0,9.0,8.0,3.0,1.0,1.0,0.2890210773633873,-65.65050048828125,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,55.0,71.0,37.0,17.0,3.0,0.0,1.0,0.2890342940454897,-78.82409210205078,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,57.0,12.0,34.0,23.0,3.0,0.0,2.0,0.2890338794044825,-81.68857879638672,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,67.0,15.0,14.0,1.0,3.0,1.0,1.0,0.2890358489492665,-63.77528686523438,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,68.0,10.0,25.0,33.0,0.0,3.0,1.0,0.2890358489492665,-62.038882446289065,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,69.0,21.0,5.0,7.0,4.0,1.0,0.0,0.2890353824781334,-62.85294647216797,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,84.0,85.0,11.0,10.0,4.0,2.0,2.0,0.289032739141713,-68.02419586181641,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,90.0,89.0,25.0,29.0,1.0,1.0,0.0,0.2890356934588888,-63.28496856689453,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,96.0,24.0,11.0,30.0,4.0,0.0,2.0,0.2890327909718388,-84.80701751708985,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,2.0,96.0,3.0,17.0,1.0,3.0,1.0,-2.902193981668224,-78.87884063720703,-1.0,-59.0,0.0,1.0,0.0,1.0,1
6.0,6.0,72.0,19.0,1.0,2.0,3.0,2.0,0.2890353824781334,-81.82741851806641,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,8.0,15.0,17.0,3.0,2.0,2.0,3.0,0.2890391142471976,-73.22597045898438,-4264.0,0.0,0.0,0.0,1.0,0.0,1
6.0,10.0,16.0,17.0,3.0,2.0,2.0,3.0,0.2890391142471976,-73.22597045898438,-4264.0,0.0,0.0,0.0,1.0,0.0,1
6.0,13.0,43.0,20.0,17.0,2.0,0.0,0.0,0.289031754369321,-84.0537826538086,0.0,0.0,0.0,0.0,1.0,0.0,1
6.0,14.0,12.0,21.0,12.0,3.0,3.0,0.0,0.2890310287475586,-62.1154052734375,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,16.0,43.0,34.0,15.0,2.0,3.0,1.0,0.2890332056128459,-63.185977172851565,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,27.0,36.0,24.0,5.0,0.0,3.0,2.0,0.289025068283081,-59.20418090820313,0.0,0.0,1.0,1.0,0.0,0.0,1
6.0,29.0,97.0,25.0,17.0,2.0,1.0,2.0,0.2890361599300218,-77.4131576538086,-17.0,0.0,0.0,1.0,0.0,0.0,1
6.0,35.0,19.0,18.0,30.0,0.0,2.0,2.0,0.289027970770131,-66.89654083251953,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,49.0,27.0,20.0,2.0,0.0,0.0,0.0,0.2890320135199504,-89.11495513916016,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,52.0,29.0,26.0,9.0,4.0,1.0,0.0,0.2890361599300218,7.313583183288575,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,74.0,99.0,29.0,19.0,0.0,0.0,0.0,0.2890340348948602,-60.98910827636719,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,78.0,66.0,27.0,38.0,4.0,0.0,2.0,0.2890253792638363,-74.16955108642578,-25.0,0.0,0.0,0.0,0.0,0.0,0
6.0,81.0,64.0,2.0,24.0,1.0,3.0,0.0,0.2890374038530432,7.268279600143433,0.0,0.0,0.0,1.0,0.0,0.0,1
6.0,90.0,50.0,30.0,1.0,2.0,1.0,1.0,-0.5902926610863728,-88.41824645996094,0.0,-4.0,0.0,0.0,0.0,0.0,0
7.0,5.0,4.0,30.0,9.0,1.0,0.0,3.0,0.2890213365140168,-77.56978912353516,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,7.0,93.0,29.0,21.0,0.0,2.0,2.0,0.2890339312346085,-60.63711853027344,0.0,0.0,0.0,1.0,0.0,0.0,1
7.0,30.0,66.0,8.0,1.0,2.0,2.0,3.0,0.2890341903852379,-62.232119750976565,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,33.0,77.0,21.0,14.0,3.0,0.0,0.0,0.2890310287475586,-60.52882690429688,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,34.0,21.0,18.0,30.0,0.0,2.0,2.0,-1.4244729332301929,6.4254477500915534,0.0,-10.0,0.0,1.0,0.0,0.0,1
7.0,34.0,75.0,1.0,6.0,4.0,3.0,2.0,0.289035071497378,-63.971728515625,0.0,0.0,0.0,1.0,0.0,0.0,1
7.0,47.0,10.0,4.0,22.0,4.0,0.0,0.0,0.2890386996061905,-75.07738037109375,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,50.0,25.0,20.0,2.0,0.0,0.0,0.0,0.2890319098596987,-65.63651580810547,0.0,0.0,0.0,1.0,0.0,0.0,1
7.0,68.0,12.0,25.0,33.0,0.0,3.0,1.0,0.2890358489492665,-62.038882446289065,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,73.0,39.0,18.0,11.0,2.0,2.0,2.0,0.2890283335810122,-82.74510498046875,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,5.0,70.0,19.0,1.0,2.0,3.0,2.0,0.2890353306480075,-62.20556182861328,0.0,0.0,0.0,1.0,0.0,0.0,1
8.0,15.0,29.0,35.0,23.0,1.0,0.0,0.0,0.2890199889307436,-67.73657531738282,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,18.0,72.0,30.0,9.0,4.0,2.0,1.0,0.2890207145525061,-88.48023529052735,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,43.0,52.0,18.0,7.0,3.0,3.0,2.0,0.2890280226002568,-64.78735656738282,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,46.0,13.0,27.0,27.0,4.0,3.0,0.0,0.1422013096187425,7.720325994491578,-630.0,-4.0,0.0,1.0,1.0,0.0,1
8.0,53.0,46.0,30.0,10.0,3.0,2.0,2.0,-3.0298739723537285,-112.38279266357422,-88.0,-236.0,0.0,1.0,0.0,1.0,1
8.0,93.0,12.0,2.0,10.0,1.0,3.0,2.0,0.2890374038530432,-64.7595932006836,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,18.0,73.0,30.0,9.0,4.0,2.0,1.0,0.2890203517416249,-77.43658752441407,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,27.0,8.0,30.0,14.0,2.0,1.0,1.0,-0.611608940622081,-90.62357635498049,0.0,-4.0,0.0,0.0,0.0,0.0,0
9.0,34.0,27.0,2.0,34.0,2.0,2.0,1.0,0.2890374038530432,-77.02077026367188,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,52.0,12.0,5.0,30.0,1.0,1.0,1.0,0.2890353306480075,-63.458499145507815,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,53.0,14.0,1.0,23.0,1.0,2.0,2.0,0.2890346050262451,-65.39037628173828,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,54.0,62.0,1.0,1.0,3.0,2.0,1.0,0.2890348641768745,-64.18018646240235,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,6.0,68.0,31.0,6.0,1.0,0.0,2.0,0.2890395288882047,-88.77335662841797,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,26.0,15.0,27.0,18.0,0.0,2.0,1.0,0.2890251201132069,-67.82759399414063,0.0,0.0,0.0,1.0,0.0,0.0,1
10.0,30.0,13.0,24.0,26.0,4.0,0.0,2.0,0.2890253274337104,-61.77633972167969,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,31.0,40.0,3.0,16.0,0.0,1.0,2.0,-4.451617033585259,6.119674491882325,0.0,-126.0,1.0,1.0,0.0,1.0,1
10.0,33.0,94.0,24.0,16.0,0.0,0.0,2.0,0.2890253274337104,-61.9706527709961,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,44.0,54.0,18.0,7.0,3.0,3.0,2.0,0.2890281780906345,-65.37235565185547,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,56.0,34.0,21.0,16.0,4.0,1.0,2.0,0.2890311842379361,-77.87594146728516,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,58.0,62.0,38.0,31.0,2.0,3.0,1.0,0.2890358489492665,-82.27807159423828,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,60.0,60.0,38.0,31.0,2.0,3.0,1.0,0.2890361599300218,-84.6768295288086,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,81.0,47.0,27.0,38.0,2.0,0.0,1.0,0.2890262085458506,-65.20746154785157,0.0,0.0,0.0,1.0,0.0,0.0,1
