RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
0,0,0,0,1,1,0,1,0,2,2,1,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,2,2,1,4,1,1,0,0.006608695652174035,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,1,2,1,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,0,0.0003478260869566041,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,0,0.0012173913043480589,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,4,1,3,1,1,0,0.013826086956521544,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,4,1,3,1,1,0,0.019739130434782592,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,4,1,3,1,1,0,0.040434782608695596,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,4,1,3,1,1,0,0.05843478260869561,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,0,1,1,3,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,2,2,1,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,0,2,2,1,4,1,1,0,0.0,0.0,0.0,0.2680031140521604,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.001913043478260823,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.006521739130434745,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.008695652173913215,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.010347826086956613,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.011391304347826092,0.0,0.0,0.0,0,0,0,1,1
0,0,0,0,1,1,1,1,1,2,3,1,2,1,1,0,0.011391304347826092,0.0,0.0,0.2839626313740754,0,0,0,1,1
