Method,Input,Precision,Recall,F1
MLP,With delta fitnesses,0.9882352941176471,0.9545454545454546,0.9710982658959537
MLP,With delta fitnesses w\o weather,0.9824561403508771,0.9545454545454546,0.968299711815562
MLP,"With delta fitnesses w\o weather, blueprints",0.9526627218934911,0.9147727272727273,0.9333333333333333
MLP,With delta fitnesses w\o blueprints,0.9578313253012049,0.9034090909090909,0.9298245614035089
 Random Forest,With delta fitnesses w\o weather,0.8633879781420765,0.8977272727272727,0.8802228412256268
 Random Forest,With delta fitnesses,0.8988095238095238,0.8579545454545454,0.877906976744186
 Random Forest,With delta fitnesses w\o blueprints,0.875,0.875,0.875
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.8516483516483516,0.8806818181818182,0.8659217877094972
Decision Tree,With delta fitnesses,0.9119496855345912,0.8238636363636364,0.8656716417910448
Decision Tree,With delta fitnesses w\o weather,0.9119496855345912,0.8238636363636364,0.8656716417910448
Decision Tree,With delta fitnesses w\o blueprints,0.9119496855345912,0.8238636363636364,0.8656716417910448
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9119496855345912,0.8238636363636364,0.8656716417910448
SVM,With delta fitnesses w\o weather,0.7967914438502673,0.8465909090909091,0.8209366391184573
SVM,With delta fitnesses,0.736318407960199,0.8409090909090909,0.7851458885941643
 Random Forest,With 1 set of fitnesses,0.75,0.7674418604651163,0.7586206896551724
 Random Forest,With 1 set of fitnesses w\o weather,0.75,0.7674418604651163,0.7586206896551724
SVM,"With delta fitnesses w\o weather, blueprints",0.775,0.7045454545454546,0.7380952380952381
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.75,0.6976744186046512,0.7228915662650603
SVM,With delta fitnesses w\o blueprints,0.7251461988304093,0.7045454545454546,0.7146974063400576
Decision Tree,With 1 set of fitnesses,0.6101694915254238,0.8372093023255814,0.7058823529411764
Decision Tree,With 1 set of fitnesses w\o weather,0.6101694915254238,0.8372093023255814,0.7058823529411764
 Random Forest,With 1 set of fitnesses w\o blueprints,0.725,0.6744186046511628,0.6987951807228916
MLP,With 1 set of fitnesses w\o weather,0.5571428571428572,0.9069767441860465,0.6902654867256637
SVM,With 1 set of fitnesses w\o weather,0.5135135135135135,0.8837209302325582,0.6495726495726496
MLP,With 1 set of fitnesses,0.5423728813559322,0.7441860465116279,0.6274509803921569
MLP,"With 1 set of fitnesses w\o weather, blueprints",0.56,0.6511627906976745,0.6021505376344087
SVM,"With 1 set of fitnesses w\o weather, blueprints",0.5263157894736842,0.6976744186046512,0.6
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.5084745762711864,0.6976744186046512,0.5882352941176471
Decision Tree,With 1 set of fitnesses w\o blueprints,0.5084745762711864,0.6976744186046512,0.5882352941176471
SVM,With 1 set of fitnesses,0.4657534246575342,0.7906976744186046,0.5862068965517241
SVM,With 1 set of fitnesses w\o blueprints,0.4307692307692308,0.6511627906976745,0.5185185185185186
MLP,With 1 set of fitnesses w\o blueprints,0.44642857142857145,0.5813953488372093,0.5050505050505051
