Method,Input,Precision,Recall,F1
MLP,With delta fitnesses,0.961352657004831,0.9357366771159875,0.948371723590151
MLP,With delta fitnesses w\o blueprints,0.9620689655172414,0.8746081504702194,0.916256157635468
MLP,With delta fitnesses w\o weather,0.9664310954063604,0.8573667711598746,0.9086378737541527
MLP,"With delta fitnesses w\o weather, blueprints",0.9665354330708661,0.7695924764890282,0.856893542757417
 Random Forest,With delta fitnesses w\o blueprints,0.9696356275303644,0.7507836990595611,0.8462897526501767
 Random Forest,With delta fitnesses,0.9853862212943633,0.7398119122257053,0.8451208594449419
Decision Tree,With delta fitnesses w\o blueprints,0.9893617021276596,0.7288401253918495,0.8393501805054153
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.9831578947368421,0.731974921630094,0.839173405211141
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9893390191897654,0.7272727272727273,0.8383017163504969
 Random Forest,With delta fitnesses w\o weather,0.9872340425531915,0.7272727272727273,0.8375451263537907
Decision Tree,With delta fitnesses w\o weather,0.9651639344262295,0.7382445141065831,0.8365896980461811
Decision Tree,With delta fitnesses,0.9670781893004116,0.7366771159874608,0.8362989323843415
MLP,With 1 set of fitnesses w\o weather,0.722972972972973,0.816793893129771,0.7670250896057348
MLP,With 1 set of fitnesses w\o blueprints,0.7185185185185186,0.7404580152671756,0.7293233082706767
Decision Tree,With 1 set of fitnesses,0.8173076923076923,0.648854961832061,0.723404255319149
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.7678571428571429,0.6564885496183206,0.7078189300411524
MLP,With 1 set of fitnesses,0.7850467289719626,0.6412213740458015,0.7058823529411764
Decision Tree,With 1 set of fitnesses w\o weather,0.801980198019802,0.6183206106870229,0.6982758620689656
 Random Forest,With 1 set of fitnesses w\o blueprints,0.7884615384615384,0.6259541984732825,0.6978723404255319
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.8297872340425532,0.5954198473282443,0.6933333333333332
 Random Forest,With 1 set of fitnesses,0.8,0.6106870229007634,0.6926406926406927
Decision Tree,With 1 set of fitnesses w\o blueprints,0.8279569892473119,0.5877862595419847,0.6875
 Random Forest,With 1 set of fitnesses w\o weather,0.79,0.6030534351145038,0.683982683982684
MLP,"With 1 set of fitnesses w\o weather, blueprints",0.7203389830508474,0.648854961832061,0.6827309236947792
SVM,With delta fitnesses,0.9923076923076923,0.4043887147335423,0.5746102449888641
SVM,"With delta fitnesses w\o weather, blueprints",0.9922779922779923,0.40282131661442006,0.5730211817168338
SVM,With delta fitnesses w\o blueprints,0.9922779922779923,0.40282131661442006,0.5730211817168338
SVM,With delta fitnesses w\o weather,0.9922779922779923,0.40282131661442006,0.5730211817168338
SVM,With 1 set of fitnesses w\o blueprints,0.7,0.37404580152671757,0.4875621890547263
SVM,With 1 set of fitnesses,0.7058823529411765,0.366412213740458,0.4824120603015075
SVM,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.061068702290076333,0.11510791366906473
SVM,With 1 set of fitnesses w\o weather,1.0,0.061068702290076333,0.11510791366906473
