Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,3.109807552026389e-07,9.416793823242188,0.0,0.0,0,0,1,0,1
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,3.6281088117151583e-07,9.416793823242188,2435.0,0.0,0,0,1,0,1
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,3.6281088117151583e-07,9.453750610351562,2435.0,0.0,0,0,1,0,1
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,3.6281088117151583e-07,9.453750610351562,2656.0,0.0,0,0,1,0,1
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,5.1830125802343474e-08,2.0740966796875,0.0,0.0,0,0,0,0,0
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,1.036602517712204e-07,2.0740966796875,0.0,0.0,0,0,0,0,0
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,1.5549037768458618e-07,2.0740966796875,0.0,0.0,0,0,0,0,0
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,1.5549037768458618e-07,2.105560302734375,0.0,0.0,0,0,0,0,0
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,1.5549037768458618e-07,2.1992263793945312,0.0,0.0,0,0,0,0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,1.5549037768458618e-07,1.4784011840820241,26.0,0.0,0,0,0,0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,3.109807554246835e-07,1.7013397216796875,26.0,0.0,0,0,0,0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,4.146410071959039e-07,1.7013397216796875,26.0,0.0,0,0,0,0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,4.146410071959039e-07,2.2096786499023438,26.0,0.0,0,0,0,0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,4.146410071959039e-07,2.4324798583984446,26.0,0.0,0,0,0,0,0
1.0,22.0,19.0,17.0,5.0,3.0,0.0,1.0,7.774518883119086e-07,0.022491455078117895,0.0,0.0,0,0,0,0,0
1.0,22.0,19.0,17.0,5.0,3.0,0.0,1.0,1.2439230214211783e-06,19.702423095703118,0.0,0.0,0,0,0,0,0
1.0,22.0,19.0,17.0,5.0,3.0,0.0,1.0,1.2439230214211783e-06,20.44425201416015,0.0,0.0,0,0,0,0,0
1.0,22.0,19.0,17.0,5.0,3.0,0.0,1.0,1.7103941544749368e-06,20.44425201416015,0.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,5.183012596887693e-08,0.2584075927734375,0.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,1.5549037768458618e-07,0.8948593139648438,0.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,1.5549037768458618e-07,1.198089599609375,1521.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,4.146410070848816e-07,2.3256607055664062,1521.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,4.146410070848816e-07,2.9617233276367188,1521.0,0.0,0,0,0,0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,4.146410070848816e-07,3.0051422119140696,1521.0,0.0,0,0,0,0,0
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.1433232556218687,0.06374359130858664,2291.0,0.0,0,0,1,0,1
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.14332330745199456,0.65966796875,2291.0,0.0,0,0,1,0,1
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.0487518310546804,2291.0,0.0,0,0,1,0,1
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.2969512939453125,2291.0,0.0,0,0,1,0,1
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.378915900769441,1.6863937377929688,2291.0,0.0,0,0,1,0,1
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.512053862861965,0.26801300048828836,529.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.6490852521813434,0.26801300048828836,530.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.6490852521813434,0.6140747070312429,530.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.7427134721175483,0.8803634643554688,530.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.7427134721175483,1.1316375732421875,530.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.7427134721175483,1.9578094482421875,530.0,2.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.7427134721175483,1.9578094482421875,530.0,3.0,0,0,0,0,0
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.7427136794380519,1.9578094482421875,530.0,3.0,0,0,0,0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,2.0732050359795196e-07,0.380767822265625,0.0,0.0,0,0,0,0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,4.664711331092697e-07,0.380767822265625,0.0,0.0,0,0,0,0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,4.664711331092697e-07,0.7878036499023438,0.0,0.0,0,0,0,0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,4.664711331092697e-07,0.930877685546875,0.0,0.0,0,0,0,0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,4.664711331092697e-07,8.989479064941406,0.0,0.0,0,0,0,0,0
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.0884326437921032e-06,0.4188232421875,0.0,0.0,0,1,0,0,1
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.0884326437921032e-06,4.538322448730462,0.0,0.0,0,1,0,0,1
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.0884326437921032e-06,5.191719055175774,0.0,0.0,0,1,0,0,1
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.140262769705469e-06,5.191719055175774,0.0,0.0,0,1,0,0,1
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.140262769705469e-06,22.9321060180664,0.0,0.0,0,1,0,0,1
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,1.3994133991057645e-06,22.9321060180664,0.0,0.0,0,1,0,0,1
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,1.036602517712204e-07,0.5245819091796946,0.0,0.0,0,0,0,0,0
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,1.5549037768458618e-07,0.8371429443359375,0.0,0.0,0,0,0,0,0
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,1.5549037768458618e-07,1.0114822387695312,0.0,0.0,0,0,0,0,0
