Method,Input,Precision,Recall,F1
 Random Forest,With delta fitnesses w\o weather,1.0,0.9730021598272138,0.9863163656267104
 Random Forest,With delta fitnesses,1.0,0.9719222462203023,0.9857612267250822
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.9988888888888889,0.9708423326133909,0.9846659364731654
 Random Forest,With delta fitnesses w\o blueprints,1.0,0.968682505399568,0.984092155787164
Decision Tree,With delta fitnesses,1.0,0.9611231101511879,0.9801762114537445
Decision Tree,With delta fitnesses w\o weather,1.0,0.9611231101511879,0.9801762114537445
Decision Tree,With delta fitnesses w\o blueprints,1.0,0.9611231101511879,0.9801762114537445
Decision Tree,"With delta fitnesses w\o weather, blueprints",1.0,0.9611231101511879,0.9801762114537445
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.950354609929078,0.9745454545454546
 Random Forest,With 1 set of fitnesses,1.0,0.950354609929078,0.9745454545454546
 Random Forest,With 1 set of fitnesses w\o blueprints,1.0,0.950354609929078,0.9745454545454546
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.950354609929078,0.9745454545454546
MLP,With delta fitnesses w\o weather,0.9966101694915255,0.9524838012958964,0.9740474875759249
MLP,"With delta fitnesses w\o weather, blueprints",0.996606334841629,0.9514038876889849,0.9734806629834254
MLP,With delta fitnesses w\o blueprints,0.996606334841629,0.9514038876889849,0.9734806629834254
MLP,With delta fitnesses,0.994343891402715,0.949244060475162,0.9712707182320441
Decision Tree,With 1 set of fitnesses,1.0,0.9432624113475178,0.9708029197080292
Decision Tree,With 1 set of fitnesses w\o weather,1.0,0.9432624113475178,0.9708029197080292
Decision Tree,With 1 set of fitnesses w\o blueprints,1.0,0.9432624113475178,0.9708029197080292
 Random Forest,With 1 set of fitnesses w\o weather,1.0,0.9361702127659575,0.967032967032967
SVM,With delta fitnesses,0.9976303317535545,0.9092872570194385,0.9514124293785311
SVM,With delta fitnesses w\o weather,0.9976303317535545,0.9092872570194385,0.9514124293785311
SVM,With delta fitnesses w\o blueprints,0.9976303317535545,0.9092872570194385,0.9514124293785311
SVM,"With delta fitnesses w\o weather, blueprints",0.9976303317535545,0.9092872570194385,0.9514124293785311
MLP,With 1 set of fitnesses w\o blueprints,0.9477611940298507,0.900709219858156,0.9236363636363636
MLP,With 1 set of fitnesses w\o weather,0.9202898550724637,0.900709219858156,0.9103942652329748
MLP,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.8226950354609929,0.9027237354085603
SVM,With 1 set of fitnesses w\o weather,1.0,0.8156028368794326,0.8984375
SVM,With 1 set of fitnesses w\o blueprints,1.0,0.8156028368794326,0.8984375
SVM,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.8156028368794326,0.8984375
MLP,With 1 set of fitnesses,1.0,0.8156028368794326,0.8984375
SVM,With 1 set of fitnesses,1.0,0.8156028368794326,0.8984375
